alcohol;sulphates;citric acid;volatile acidity;quality
9.5;0.59;0.14;0.61;3
9.4;0.51;0.23;0.46;3
10.6;0.97;0.25;0.32;3
9.6;0.44;0.49;0.5;3
9.4;0.56;0.0;0.7;3
9.5;0.5;0.17;0.64;3
9.4;0.56;0.36;0.38;3
10.2;0.7;0.5;0.46;3
9.4;1.06;0.6;0.36;3
9.0;0.49;0.58;0.43;3
11.2;0.62;0.74;0.5;3
9.5;0.48;0.22;0.69;3
10.2;0.72;0.0;0.69;3
9.6;0.67;0.24;0.59;3
9.5;0.53;0.0;0.68;3
9.4;0.52;0.3;0.41;3
11.2;0.8;0.27;0.47;3
9.8;0.59;0.01;0.59;3
9.9;0.51;0.21;0.69;3
9.3;0.8;0.26;0.49;3
9.4;0.47;0.26;0.685;3
10.5;0.47;0.1;0.49;3
11.5;0.52;0.13;0.875;3
9.4;0.64;0.52;0.34;3
9.6;0.82;0.11;0.745;3
9.9;0.49;0.22;0.6;3
9.2;0.65;0.0;0.615;3
10.1;0.44;0.25;0.32;3
10.1;0.54;0.14;0.85;3
10.6;0.57;0.03;0.56;3
11.0;0.61;0.19;0.715;3
9.3;0.67;0.23;0.37;3
10.5;0.73;0.01;0.61;3
9.7;0.55;0.21;0.55;3
9.2;0.48;0.14;0.57;3
9.2;0.74;0.28;0.51;3
9.8;0.64;0.13;0.54;3
11.0;0.53;0.48;0.42;3
10.9;0.56;0.31;0.54;3
9.5;0.77;0.15;0.715;3
9.3;0.61;0.23;0.685;3
9.5;0.48;0.23;0.67;3
11.2;0.66;0.44;0.28;3
9.6;0.54;0.15;0.66;3
9.3;0.52;0.17;0.63;3
9.7;0.67;0.1;0.59;3
9.2;0.54;0.2;0.725;3
9.3;0.6;0.18;0.62;3
9.9;0.52;0.26;0.56;3
9.3;0.64;0.16;0.735;3
9.3;0.56;0.16;0.39;3
10.8;0.51;0.0;0.885;3
9.8;0.59;0.39;0.37;3
10.1;0.65;0.23;0.56;3
9.5;0.45;0.0;0.5;3
10.0;0.94;0.55;0.72;3
9.3;0.52;0.02;0.73;3
10.5;0.57;0.5;0.37;3
10.5;0.64;0.14;0.75;3
9.4;0.49;0.26;0.6;3
9.8;0.53;0.26;0.61;3
9.5;0.58;0.52;0.29;3
10.8;0.71;0.33;0.45;3
9.6;0.64;0.26;0.49;3
10.8;0.56;0.0;0.6;3
8.8;0.75;0.5;0.5;3
9.3;0.63;0.05;0.62;3
9.2;0.53;0.24;0.48;3
9.5;0.57;0.24;0.53;3
10.0;0.57;0.29;0.6;3
9.7;0.74;0.0;0.67;3
9.4;0.62;0.32;0.48;3
9.5;0.54;0.06;0.62;3
11.1;0.79;0.32;0.34;3
8.5;0.65;0.38;0.38;3
9.2;0.56;0.23;0.46;3
10.1;0.63;0.05;0.67;3
9.8;0.53;0.25;0.6;3
9.5;1.22;0.44;0.39;3
10.5;0.66;0.64;0.41;3
10.6;0.68;0.6;0.28;3
9.9;0.78;0.32;0.39;3
9.2;0.56;0.23;0.4;3
9.4;0.55;0.49;0.4;3
9.2;0.51;0.22;0.575;3
9.1;0.49;0.29;0.6;3
9.5;0.59;0.14;0.61;3
11.4;0.46;0.43;0.39;3
10.6;0.78;0.05;0.64;3
10.9;0.44;0.2;0.96;3
9.2;0.58;0.37;0.31;3
10.4;0.64;0.17;0.43;3
9.6;0.72;0.25;0.58;3
10.0;0.62;0.26;0.86;3
9.4;0.48;0.24;0.49;3
9.6;0.67;0.66;0.55;3
9.7;0.62;0.26;0.61;3
9.5;0.63;0.54;0.28;3
11.4;0.58;0.04;0.54;3
9.9;0.57;0.65;0.6;3
9.4;0.55;0.26;0.685;3
9.9;0.52;0.26;0.59;3
10.0;0.56;0.66;0.58;3
9.4;0.52;0.38;0.52;3
10.2;0.98;0.26;0.54;3
11.6;0.52;0.0;0.795;3
9.2;0.67;0.0;0.695;3
10.5;0.53;0.48;0.35;3
11.9;0.5;0.1;0.715;3
10.0;0.53;0.1;0.78;3
9.0;0.58;0.33;0.49;3
10.4;0.44;0.32;0.42;3
9.55;0.65;0.1;0.675;3
10.1;0.54;0.03;0.6;3
9.6;0.82;0.54;0.32;3
11.0;0.59;0.0;0.74;3
9.8;0.66;0.12;0.655;3
9.1;0.64;0.49;0.41;3
9.2;0.52;0.6;0.65;3
11.1;0.7;0.4;0.18;3
10.5;0.58;0.19;0.51;6
9.5;0.71;0.55;0.67;6
11.5;0.6;0.0;0.76;6
9.5;0.54;0.22;0.715;6
9.3;0.65;0.23;0.45;6
10.4;0.68;0.09;0.42;6
10.3;0.6;0.18;0.765;6
9.5;0.82;0.08;0.62;6
9.0;0.65;0.25;0.52;6
11.9;0.82;0.42;0.3;6
11.1;0.68;0.02;0.67;6
9.4;0.67;0.02;0.64;6
9.9;0.89;0.55;0.41;6
9.8;0.87;0.12;0.5;6
12.6;0.56;0.32;0.31;6
10.3;0.55;0.31;0.48;6
9.6;0.8;0.53;0.33;6
10.9;0.63;0.0;0.9;6
10.9;0.68;0.0;0.765;6
9.4;0.91;0.04;0.54;6
9.4;0.61;0.49;0.53;6
10.3;0.7;0.12;0.4;6
10.1;0.64;0.33;0.63;6
10.9;0.87;0.48;0.26;6
9.0;0.59;0.18;0.545;6
10.6;0.6;0.24;0.46;6
9.2;0.66;0.45;0.34;6
10.5;0.58;0.25;0.43;6
12.0;0.63;0.27;0.49;6
10.4;0.75;0.49;0.35;6
9.1;0.62;0.13;0.58;6
9.9;0.57;0.22;0.52;6
10.6;0.69;0.31;0.4;6
11.9;0.44;0.0;0.96;6
10.6;1.04;0.48;0.28;6
10.7;0.62;0.0;0.78;6
10.2;1.36;0.18;0.755;6
10.7;0.93;0.0;0.51;6
9.0;0.65;0.25;0.52;6
10.4;0.55;0.31;0.32;6
9.5;0.78;0.24;0.55;6
10.2;0.8;0.49;0.27;6
11.1;0.79;0.6;0.35;6
9.5;0.55;0.31;0.41;6
11.5;0.6;0.66;1.01;6
9.0;0.56;0.52;0.46;6
10.1;0.7;0.11;0.685;6
10.2;0.63;0.31;0.59;6
9.1;1.33;0.68;0.76;6
10.3;0.6;0.05;0.57;6
9.7;0.6;0.02;0.61;6
12.2;0.54;0.4;0.43;6
12.5;0.66;0.64;0.36;6
9.4;0.83;0.0;0.795;6
9.0;0.47;0.38;0.34;6
11.6;0.74;0.31;0.69;6
10.75;0.56;0.02;0.855;6
9.9;0.89;0.55;0.41;6
10.0;0.5;0.19;0.61;6
11.9;0.69;0.46;0.44;6
10.3;0.82;0.49;0.39;6
9.7;0.81;0.48;0.4;6
10.5;0.48;0.78;0.31;6
10.5;0.57;0.14;0.41;6
9.4;0.63;0.04;0.52;6
11.4;0.6;0.42;0.34;6
12.2;0.6;0.43;0.4;6
10.4;0.62;0.02;0.65;6
11.3;0.83;0.22;0.49;6
12.5;0.7;0.45;0.43;6
9.9;0.7;0.57;0.23;6
9.9;0.98;0.22;0.67;6
10.8;0.65;0.47;0.44;6
10.1;0.64;0.31;0.41;6
10.0;0.42;0.36;0.645;6
10.0;0.66;0.47;0.31;6
14.0;0.75;0.01;0.38;6
10.1;0.97;0.51;0.18;6
11.5;0.5;0.49;0.39;6
10.1;0.97;0.51;0.18;6
9.7;0.68;0.43;0.37;6
11.9;0.6;0.43;0.25;6
12.5;0.66;0.64;0.36;6
10.0;0.6;0.0;0.64;6
10.5;0.54;0.02;0.51;6
9.2;0.61;0.17;0.42;6
13.3;0.99;0.66;0.625;6
10.0;0.73;0.24;0.43;6
8.7;0.75;0.49;0.42;6
11.2;0.82;0.22;0.56;6
10.1;0.6;0.25;0.36;6
12.0;0.77;0.45;0.42;6
11.9;0.6;0.15;0.7;6
9.8;0.68;0.66;0.38;6
10.0;0.56;0.24;0.725;6
10.6;0.72;0.6;0.27;6
11.8;0.51;0.56;0.27;6
10.6;0.6;0.24;0.46;6
9.6;0.55;0.0;0.645;6
10.5;0.63;0.31;0.4;6
11.3;0.66;0.01;0.68;6
10.1;0.56;0.1;0.735;6
11.1;0.66;0.35;0.42;6
10.6;0.73;0.4;0.47;6
9.5;1.61;0.5;0.59;6
9.4;0.53;0.48;0.22;6
9.8;0.58;0.01;0.5;6
9.7;0.67;0.62;0.27;6
10.2;0.56;0.3;0.67;6
10.0;0.56;0.04;0.53;6
10.0;0.9;0.49;0.25;6
10.2;0.6;0.18;0.61;6
11.5;0.62;0.29;0.5;6
11.0;0.71;0.41;0.33;6
10.0;0.56;0.24;0.48;6
11.8;0.57;0.09;0.74;6
11.5;0.63;0.03;0.74;6
10.5;0.58;0.25;0.43;6
10.9;0.71;0.56;0.38;6
10.4;0.63;0.0;0.6;6
12.8;0.7;0.4;0.28;9
10.6;0.82;0.38;0.35;9
12.5;0.78;0.63;0.49;9
11.7;0.75;0.66;0.42;9
13.566666666666698;0.88;0.11;0.47;9
10.5;0.74;0.49;0.29;9
12.9;0.72;0.38;0.38;9
11.7;0.84;0.33;0.29;9
11.1;0.79;0.42;0.44;9
11.0;0.85;0.46;0.36;9
10.8;1.02;0.46;0.24;9
10.1;0.74;0.16;0.4;9
12.1;0.69;0.48;0.34;9
11.0;0.64;0.34;0.27;9
10.6;0.86;0.09;0.52;9
11.8;0.71;0.42;0.32;9
10.9;1.04;0.47;0.26;9
10.5;0.75;0.56;0.28;9
10.0;0.65;0.32;0.48;9
11.5;0.72;0.3;0.43;9
11.8;0.65;0.46;0.38;9
10.9;0.83;0.53;0.31;9
11.0;0.85;0.46;0.36;9
13.6;0.88;0.11;0.47;9
12.5;0.81;0.45;0.31;9
9.7;0.6;0.34;0.5;9
11.2;0.54;0.36;0.34;9
13.6;0.88;0.34;0.36;9
9.7;0.73;0.28;0.38;9
10.8;0.59;0.06;0.59;9
11.7;0.39;0.28;0.28;9
10.5;0.56;0.01;0.58;9
10.0;0.47;0.0;0.65;9
10.5;0.92;0.16;0.59;9
11.2;0.87;0.43;0.39;9
11.2;0.67;0.3;0.48;9
11.3;0.78;0.34;0.26;9
13.4;0.9;0.51;0.4;9
13.6;0.73;0.0;0.42;9
11.3;0.71;0.12;0.57;9
11.6;0.63;0.49;0.44;9
12.0;1.13;0.53;0.27;9
9.2;0.84;0.44;0.21;9
11.7;0.71;0.02;0.735;9
11.1;0.89;0.45;0.33;9
12.5;0.52;0.49;0.27;9
12.8;0.55;0.32;0.36;9
13.3;0.79;0.5;0.41;9
11.3;0.9;0.3;0.28;9
11.7;0.85;0.41;0.3;9
11.6;0.66;0.4;0.34;9
9.9;0.66;0.49;0.28;9
11.1;0.58;0.37;0.21;9
11.7;0.84;0.34;0.3;9
11.9;0.76;0.45;0.12;9
11.8;0.74;0.35;0.28;9
12.5;0.77;0.39;0.31;9
12.5;0.72;0.08;0.52;9
11.8;0.66;0.64;0.51;9
11.2;0.81;0.43;0.37;9
12.0;0.66;0.49;0.35;9
11.2;0.74;0.63;0.33;9
11.9;0.76;0.45;0.12;9
10.9;0.81;0.41;0.39;9
11.7;0.82;0.53;0.4;9
12.0;0.7;0.4;0.35;9
12.1;0.64;0.49;0.3;9
12.2;0.79;0.48;0.41;9
10.8;1.05;0.42;0.24;9
11.6;0.76;0.57;0.53;9
12.3;0.51;0.68;0.3;9
12.0;1.13;0.53;0.27;9
11.8;0.83;0.71;0.54;9
10.8;0.77;0.74;0.3;9
12.4;1.01;0.36;0.29;9
12.3;0.51;0.68;0.3;9
12.5;0.77;0.39;0.31;9
10.0;0.65;0.32;0.48;9
11.8;0.49;0.45;0.41;9
10.0;0.73;0.66;0.615;9
12.3;0.56;0.03;0.84;9
12.0;0.85;0.73;0.44;9
11.5;0.57;0.39;0.3;9
11.4;0.55;0.39;0.34;9
10.1;0.69;0.1;0.64;9
11.0;0.58;0.01;0.55;9
10.2;0.72;0.52;0.26;9
11.1;0.72;0.57;0.36;9
10.5;0.77;0.32;0.4;9
11.6;0.76;0.02;0.58;9
12.5;0.71;0.39;0.25;9
13.0;0.6;0.76;0.37;9
11.2;0.68;0.4;0.31;9
9.2;0.84;0.44;0.21;9
11.5;0.71;0.39;0.66;9
10.2;0.62;0.12;0.6;9
12.8;0.7;0.4;0.28;9
11.5;0.71;0.39;0.66;9
12.8;0.76;0.32;0.33;9
10.8;0.92;0.55;0.32;9
11.5;0.74;0.66;0.53;9
12.3;0.89;0.02;0.815;9
12.8;0.63;0.0;0.66;9
12.6;0.77;0.41;0.41;9
11.6;0.8;0.44;0.32;9
10.6;0.86;0.09;0.52;9
11.0;0.9;0.47;0.24;9
11.4;0.68;0.75;0.29;9
11.0;0.82;0.39;0.36;9
12.0;0.86;0.36;0.31;9
10.6;0.65;0.34;0.37;9
11.9;0.76;0.45;0.12;9
9.9;0.76;0.54;0.41;9
11.2;0.68;0.76;0.685;9
11.0;0.9;0.47;0.24;9
10.8;0.69;0.1;0.635;9
12.0;0.85;0.73;0.44;9
11.9;0.58;0.41;0.38;9
12.0;0.99;0.58;0.44;9
11.3;0.73;0.32;0.37;9
